NCT Number,Major Condition,Major Interventions,Sponsor,Phases,State,Zip Code
NCT02730546,Lung Cancer,Procedure,Mayo Clinic,PHASE2,Minnesota,55905
NCT02730546,Lung Cancer,Others,Mayo Clinic,PHASE2,Minnesota,55905
NCT02730546,Lung Cancer,Drug,Mayo Clinic,PHASE2,Minnesota,55905
NCT02730546,Lung Cancer,Biological,Mayo Clinic,PHASE2,Minnesota,55905
NCT02509546,Blood Cancer,Drug,City of Hope Medical Center,PHASE1,California,91010
NCT02509546,Blood Cancer,Others,City of Hope Medical Center,PHASE1,California,91010
NCT02509546,Blood Cancer,Drug,City of Hope Medical Center,PHASE2,California,91010
NCT02509546,Blood Cancer,Others,City of Hope Medical Center,PHASE2,California,91010
NCT04630769,Lung Cancer,Drug,"Masonic Cancer Center, University of Minnesota",PHASE1,Minnesota,55455
NCT02756572,Blood Cancer,Radiation,University of Washington,PHASE2,Washington,98109
NCT02756572,Blood Cancer,Procedure,University of Washington,PHASE2,Washington,98109
NCT02756572,Blood Cancer,Others,University of Washington,PHASE2,Washington,98109
NCT02756572,Blood Cancer,Drug,University of Washington,PHASE2,Washington,98109
NCT02756572,Blood Cancer,Biological,University of Washington,PHASE2,Washington,98109
NCT02874404,Blood Cancer,Drug,University of Nebraska,PHASE2,Nebraska,68198
NCT02874404,Blood Cancer,Others,University of Nebraska,PHASE2,Nebraska,68198
NCT02417701,Lung Cancer,Drug,National Cancer Institute (NCI),PHASE2,New York,11553
NCT02417701,Lung Cancer,Others,National Cancer Institute (NCI),PHASE2,New York,11553
NCT02659943,Blood Cancer,Drug,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT02659943,Blood Cancer,Biological,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT03186638,Other,Drug,University of Rochester NCORP Research Base,PHASE2,Wisconsin,54017
NCT03186638,Other,Others,University of Rochester NCORP Research Base,PHASE2,Wisconsin,54017
NCT04177810,Other,Drug,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,PHASE2,Maryland,21231
NCT03578081,Other,Drug,Alliance for Clinical Trials in Oncology,PHASE3,Tamuning,96913
NCT02393755,Lung Cancer,Drug,Roswell Park Cancer Institute,PHASE1,New York,14263
NCT02393755,Lung Cancer,Others,Roswell Park Cancer Institute,PHASE1,New York,14263
NCT02393755,Lung Cancer,Drug,Roswell Park Cancer Institute,PHASE2,New York,14263
NCT02393755,Lung Cancer,Others,Roswell Park Cancer Institute,PHASE2,New York,14263
NCT02849990,Lung Cancer,Drug,University of Washington,PHASE2,Washington,98109
NCT02849990,Lung Cancer,Others,University of Washington,PHASE2,Washington,98109
NCT04146038,Blood Cancer,Drug,"Rutgers, The State University of New Jersey",PHASE2,New Jersey,08903
NCT04034238,Lung Cancer,Drug,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT02257138,Blood Cancer,Drug,M.D. Anderson Cancer Center,PHASE1,Texas,77030
NCT02257138,Blood Cancer,Others,M.D. Anderson Cancer Center,PHASE1,Texas,77030
NCT02257138,Blood Cancer,Drug,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02257138,Blood Cancer,Others,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03278106,Other,Drug,Mayo Clinic,PHASE2,Minnesota,55905
NCT03278106,Other,Others,Mayo Clinic,PHASE2,Minnesota,55905
NCT03063632,Other,Others,National Cancer Institute (NCI),PHASE2,Washington,98109
NCT03063632,Other,Biological,National Cancer Institute (NCI),PHASE2,Washington,98109
NCT03111732,liver Cancer,Drug,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT03111732,liver Cancer,Biological,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT03789175,Other,Uncategorized,"National Heart, Lung, and Blood Institute (NHLBI)",PHASE1,Maryland,20892
NCT03789175,Other,Uncategorized,"National Heart, Lung, and Blood Institute (NHLBI)",PHASE2,Maryland,20892
NCT02964559,Other,Biological,Emory University,PHASE2,Georgia,30322
NCT03148275,Other,Drug,National Cancer Institute (NCI),PHASE2,Utah,84112
NCT03148275,Other,Others,National Cancer Institute (NCI),PHASE2,Utah,84112
NCT03128359,Blood Cancer,Drug,City of Hope Medical Center,PHASE2,California,91010
NCT03128359,Blood Cancer,Radiation,City of Hope Medical Center,PHASE2,California,91010
NCT03128359,Blood Cancer,Others,City of Hope Medical Center,PHASE2,California,91010
NCT03128359,Blood Cancer,Procedure,City of Hope Medical Center,PHASE2,California,91010
NCT02484664,Other,Drug,Brigham and Women's Hospital,PHASE2,Massachusetts,02115
NCT02267603,Other,Others,National Cancer Institute (NCI),PHASE2,Washington,98109
NCT02267603,Other,Biological,National Cancer Institute (NCI),PHASE2,Washington,98109
NCT02728050,Blood Cancer,Drug,University of Washington,PHASE1,Washington,98109
NCT02728050,Blood Cancer,Others,University of Washington,PHASE1,Washington,98109
NCT02728050,Blood Cancer,Biological,University of Washington,PHASE1,Washington,98109
NCT02728050,Blood Cancer,Drug,University of Washington,PHASE2,Washington,98109
NCT02728050,Blood Cancer,Others,University of Washington,PHASE2,Washington,98109
NCT02728050,Blood Cancer,Biological,University of Washington,PHASE2,Washington,98109
NCT03038308,Other,Drug,Columbia University,PHASE1,New York,10032
NCT03038308,Other,Drug,Columbia University,PHASE2,New York,10032
NCT02451423,Other,Drug,Lawrence Fong,PHASE2,California,94143
NCT03701295,Blood Cancer,Drug,National Cancer Institute (NCI),PHASE1,New York,10065
NCT03701295,Blood Cancer,Drug,National Cancer Institute (NCI),PHASE2,New York,10065
NCT02090114,Prostate Cancer,Drug,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,PHASE2,Maryland,21231
NCT02598895,Prostate Cancer,Drug,University of Washington,PHASE2,Washington,98109
NCT02598895,Prostate Cancer,Others,University of Washington,PHASE2,Washington,98109
NCT04847050,Blood Cancer,Biological,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT04205955,Other,Others,SWOG Cancer Research Network,PHASE2,Tamuning,96913
NCT02808650,Other,Drug,Children's Oncology Group,PHASE1,Washington,98105
NCT02808650,Other,Others,Children's Oncology Group,PHASE1,Washington,98105
NCT03485950,Other,Drug,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03485950,Other,Others,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03317795,Pancreatic Cancer,Drug,Shannon K. Laughlin-Tommaso,PHASE4,Minnesota,55905
NCT02177695,Other,Drug,SWOG Cancer Research Network,PHASE2,Wyoming,82801
NCT03685708,Other,Biological,"National Heart, Lung, and Blood Institute (NHLBI)",PHASE2,Maryland,20892
NCT02703714,Other,Drug,Robin Kate Kelley,PHASE2,California,94158
NCT04439214,Blood Cancer,Biological,National Cancer Institute (NCI),PHASE2,Pennsylvania,19103
NCT02412670,Other,Drug,ECOG-ACRIN Cancer Research Group,PHASE2,Wisconsin,53188
NCT02412670,Other,Procedure,ECOG-ACRIN Cancer Research Group,PHASE2,Wisconsin,53188
NCT03300570,Other,Drug,National Cancer Institute (NCI),PHASE1,Pennsylvania,19107
NCT03300570,Other,Others,National Cancer Institute (NCI),PHASE1,Pennsylvania,19107
NCT03405142,Other,Drug,Eben Rosenthal,PHASE2,California,94304
NCT03801915,liver Cancer,Drug,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT03801915,liver Cancer,Procedure,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT03686215,Other,Others,"Lumicell, Inc.",PHASE3,Washington,98405
NCT02392637,Other,Drug,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02392637,Other,Others,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03468985,Lung Cancer,Drug,National Cancer Institute (NCI),PHASE2,Wyoming,82801
NCT03468985,Lung Cancer,Biological,National Cancer Institute (NCI),PHASE2,Wyoming,82801
NCT01775475,Blood Cancer,Drug,AIDS Malignancy Consortium,PHASE2,,
NCT01775475,Blood Cancer,Others,AIDS Malignancy Consortium,PHASE2,,
NCT03690921,Other,Drug,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03690921,Other,Radiation,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03690921,Other,Others,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03690921,Other,Procedure,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03830164,Lung Cancer,Drug,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02942264,Brain Cancer,Drug,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT02942264,Brain Cancer,Drug,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT02723864,Other,Drug,National Cancer Institute (NCI),PHASE1,Texas,77030-4096
NCT03103321,Prostate Cancer,Others,Alliance for Clinical Trials in Oncology,PHASE3,Virginia,23298
NCT03081884,Other,Drug,Emory University,PHASE2,Georgia,30322
NCT03081884,Other,Procedure,Emory University,PHASE2,Georgia,30322
NCT02199184,Blood Cancer,Drug,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02199184,Blood Cancer,Biological,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02484443,Lung Cancer,Others,National Cancer Institute (NCI),PHASE2,San Juan,00926
NCT02484443,Lung Cancer,Biological,National Cancer Institute (NCI),PHASE2,San Juan,00926
NCT02808143,Other,Others,Northwestern University,PHASE1,Illinois,60611
NCT02808143,Other,Biological,Northwestern University,PHASE1,Illinois,60611
NCT02581943,Lung Cancer,Drug,Wake Forest University Health Sciences,PHASE2,North Carolina,27157
NCT02581943,Lung Cancer,Others,Wake Forest University Health Sciences,PHASE2,North Carolina,27157
NCT02581943,Lung Cancer,Biological,Wake Forest University Health Sciences,PHASE2,North Carolina,27157
NCT02961790,Other,Drug,Academic and Community Cancer Research United,PHASE3,Wisconsin,54449
NCT02961790,Other,Others,Academic and Community Cancer Research United,PHASE3,Wisconsin,54449
NCT02362464,Prostate Cancer,Biological,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT03648879,Other,Uncategorized,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT03853707,Other,Drug,City of Hope Medical Center,PHASE1,California,91010
NCT03853707,Other,Others,City of Hope Medical Center,PHASE1,California,91010
NCT03853707,Other,Drug,City of Hope Medical Center,PHASE2,California,91010
NCT03853707,Other,Others,City of Hope Medical Center,PHASE2,California,91010
NCT03229278,Lung Cancer,Drug,"Rutgers, The State University of New Jersey",PHASE1,New Jersey,08903
NCT03229278,Lung Cancer,Others,"Rutgers, The State University of New Jersey",PHASE1,New Jersey,08903
NCT03229278,Lung Cancer,Procedure,"Rutgers, The State University of New Jersey",PHASE1,New Jersey,08903
NCT03229278,Lung Cancer,Biological,"Rutgers, The State University of New Jersey",PHASE1,New Jersey,08903
NCT03027388,Brain Cancer,Drug,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT03822871,Prostate Cancer,Drug,Cancer Targeted Technology,PHASE1,California,9410794143
NCT03309878,Blood Cancer,Biological,National Cancer Institute (NCI),PHASE1,New York,11553
NCT03309878,Blood Cancer,Biological,National Cancer Institute (NCI),PHASE2,New York,11553
NCT01806571,Blood Cancer,Drug,Mayo Clinic,PHASE2,Minnesota,55905
NCT01806571,Blood Cancer,Others,Mayo Clinic,PHASE2,Minnesota,55905
NCT03018288,Brain Cancer,Drug,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT03018288,Brain Cancer,Procedure,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT03018288,Brain Cancer,Biological,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT04782856,Other,Drug,Virginia Commonwealth University,PHASE2,Virginia,23298
NCT02921256,Lung Cancer,Drug,National Cancer Institute (NCI),PHASE2,San Juan,00936
NCT02921256,Lung Cancer,Radiation,National Cancer Institute (NCI),PHASE2,San Juan,00936
NCT02921256,Lung Cancer,Procedure,National Cancer Institute (NCI),PHASE2,San Juan,00936
NCT02921256,Lung Cancer,Biological,National Cancer Institute (NCI),PHASE2,San Juan,00936
NCT03958656,Blood Cancer,Drug,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT03958656,Blood Cancer,Biological,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT02207556,Other,Drug,Medical College of Wisconsin,PHASE2,Wisconsin,53226
NCT02169271,Other,Drug,National Cancer Institute (NCI),PHASE2,Milano,20141
NCT02169271,Other,Others,National Cancer Institute (NCI),PHASE2,Milano,20141
NCT03319745,Other,Biological,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02282345,Lung Cancer,Drug,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02282345,Lung Cancer,Others,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02680587,Prostate Cancer,Radiation,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,PHASE2,Maryland,21287
NCT03220854,Other,Procedure,Virginia Commonwealth University,PHASE2,Virginia,23298
NCT03220854,Other,Radiation,Virginia Commonwealth University,PHASE2,Virginia,23298
NCT03220854,Other,Biological,Virginia Commonwealth University,PHASE2,Virginia,23298
NCT02452554,Brain Cancer,Others,Children's Oncology Group,PHASE2,Wisconsin,53226
NCT02452554,Brain Cancer,Biological,Children's Oncology Group,PHASE2,Wisconsin,53226
NCT02455453,Other,Drug,Washington University School of Medicine,PHASE2,Missouri,63110
NCT02126553,Blood Cancer,Drug,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02126553,Blood Cancer,Others,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03987854,Other,Uncategorized,University of Michigan,PHASE1,Michigan,48109
NCT03987854,Other,Uncategorized,University of Michigan,PHASE2,Michigan,48109
NCT04574583,Other,Drug,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT04574583,Other,Biological,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT04574583,Other,Drug,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT04574583,Other,Biological,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT02197897,Other,Drug,Baylor College of Medicine,PHASE2,Texas,77030
NCT02973997,Lymphoma Cancer,Drug,Academic and Community Cancer Research United,PHASE2,Texas,77030
NCT02973997,Lymphoma Cancer,Others,Academic and Community Cancer Research United,PHASE2,Texas,77030
NCT02973997,Lymphoma Cancer,Biological,Academic and Community Cancer Research United,PHASE2,Texas,77030
NCT04166383,liver Cancer,Drug,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT04166383,liver Cancer,Biological,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT02248597,Other,Drug,Wake Forest University Health Sciences,PHASE2,North Carolina,27157
NCT02248597,Other,Procedure,Wake Forest University Health Sciences,PHASE2,North Carolina,27157
NCT02794883,Brain Cancer,Procedure,Northwestern University,PHASE2,Illinois,60611
NCT02794883,Brain Cancer,Others,Northwestern University,PHASE2,Illinois,60611
NCT02794883,Brain Cancer,Biological,Northwestern University,PHASE2,Illinois,60611
NCT03769311,Other,Drug,"University of Wisconsin, Madison",PHASE2,Wisconsin,53792
NCT03047993,Blood Cancer,Drug,M.D. Anderson Cancer Center,PHASE1,Texas,77030
NCT03047993,Blood Cancer,Drug,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03180528,Other,Drug,Kavita Sarin,PHASE2,California,94304
NCT02596711,Other,Drug,M.D. Anderson Cancer Center,PHASE1,Texas,77030
NCT02596711,Other,Others,M.D. Anderson Cancer Center,PHASE1,Texas,77030
NCT02596711,Other,Drug,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02596711,Other,Others,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02326805,Lung Cancer,Others,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT02326805,Lung Cancer,Biological,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT02383498,Other,Procedure,"NantCell, Inc.",PHASE2,Maryland,20892
NCT02383498,Other,Radiation,"NantCell, Inc.",PHASE2,Maryland,20892
NCT02383498,Other,Biological,"NantCell, Inc.",PHASE2,Maryland,20892
NCT03202628,Blood Cancer,Procedure,Mayo Clinic,PHASE2,Minnesota,55905
NCT03202628,Blood Cancer,Others,Mayo Clinic,PHASE2,Minnesota,55905
NCT03202628,Blood Cancer,Drug,Mayo Clinic,PHASE2,Minnesota,55905
NCT03427411,Other,Drug,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT02695628,liver Cancer,Drug,Stanford University,PHASE2,California,94304
NCT02695628,liver Cancer,Procedure,Stanford University,PHASE2,California,94304
NCT02921061,Blood Cancer,Drug,Fred Hutchinson Cancer Center,PHASE1,Washington,98109
NCT02921061,Blood Cancer,Others,Fred Hutchinson Cancer Center,PHASE1,Washington,98109
NCT02921061,Blood Cancer,Biological,Fred Hutchinson Cancer Center,PHASE1,Washington,98109
NCT02921061,Blood Cancer,Drug,Fred Hutchinson Cancer Center,PHASE2,Washington,98109
NCT02921061,Blood Cancer,Others,Fred Hutchinson Cancer Center,PHASE2,Washington,98109
NCT02921061,Blood Cancer,Biological,Fred Hutchinson Cancer Center,PHASE2,Washington,98109
NCT02311361,Other,Procedure,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT02311361,Other,Radiation,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT02311361,Other,Biological,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT02311361,Other,Procedure,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT02311361,Other,Radiation,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT02311361,Other,Biological,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT02237183,Lung Cancer,Drug,National Cancer Institute (NCI),PHASE1,Colorado,80217-3364
NCT02237183,Lung Cancer,Others,National Cancer Institute (NCI),PHASE1,Colorado,80217-3364
NCT02363283,Other,Drug,National Cancer Institute (NCI),PHASE2,Utah,84112
NCT02363283,Other,Others,National Cancer Institute (NCI),PHASE2,Utah,84112
NCT02657928,Pancreatic Cancer,Drug,Mayo Clinic,PHASE2,Minnesota,55905
NCT02657928,Pancreatic Cancer,Others,Mayo Clinic,PHASE2,Minnesota,55905
NCT04685811,Lung Cancer,Drug,Weill Medical College of Cornell University,PHASE1,New York,10021
NCT04685811,Lung Cancer,Drug,Weill Medical College of Cornell University,PHASE2,New York,10021
NCT04555811,Blood Cancer,Drug,"Masonic Cancer Center, University of Minnesota",PHASE1,Missouri,63110
NCT03258593,Other,Drug,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT03258593,Other,Procedure,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT03707587,Other,Drug,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT03077451,Other,Drug,AIDS Malignancy Consortium,PHASE2,,
NCT03077451,Other,Others,AIDS Malignancy Consortium,PHASE2,,
NCT03891654,liver Cancer,Uncategorized,"University of Colorado, Denver",EARLY_PHASE1,Colorado,80045
NCT02859454,Other,Drug,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT04216251,Other,Drug,Massachusetts General Hospital,PHASE1,Massachusetts,02115
NCT04216251,Other,Drug,Massachusetts General Hospital,PHASE2,Massachusetts,02115
NCT02821754,liver Cancer,Drug,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT02821754,liver Cancer,Procedure,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT03019939,Blood Cancer,Drug,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03255018,Blood Cancer,Biological,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT02649439,Prostate Cancer,Biological,National Cancer Institute (NCI),PHASE2,New York,10021
NCT03422536,Other,Drug,University of Arizona,PHASE2,South Carolina,29425
NCT03422536,Other,Biological,University of Arizona,PHASE2,South Carolina,29425
NCT02509052,Blood Cancer,Drug,City of Hope Medical Center,PHASE1,California,91010
NCT02509052,Blood Cancer,Others,City of Hope Medical Center,PHASE1,California,91010
NCT02509052,Blood Cancer,Drug,City of Hope Medical Center,PHASE2,California,91010
NCT02509052,Blood Cancer,Others,City of Hope Medical Center,PHASE2,California,91010
NCT03377556,Lung Cancer,Drug,SWOG Cancer Research Network,PHASE2,Saskatchewan,S7N 4H4
NCT03377556,Lung Cancer,Others,SWOG Cancer Research Network,PHASE2,Saskatchewan,S7N 4H4
NCT02898207,Lung Cancer,Drug,National Cancer Institute (NCI),PHASE1,Minnesota,55905
NCT04177693,Pancreatic Cancer,Drug,Yale University,PHASE1,Maryland,21205
NCT02500797,Other,Others,National Cancer Institute (NCI),PHASE2,Wyoming,82801
NCT02500797,Other,Biological,National Cancer Institute (NCI),PHASE2,Wyoming,82801
NCT03061188,Blood Cancer,Drug,Northwestern University,PHASE1,Illinois,60611
NCT03061188,Blood Cancer,Others,Northwestern University,PHASE1,Illinois,60611
NCT03061188,Blood Cancer,Biological,Northwestern University,PHASE1,Illinois,60611
NCT02499497,Prostate Cancer,Drug,Dana-Farber Cancer Institute,PHASE2,Massachusetts,02115
NCT03364348,breast Cancer,Drug,George W. Sledge Jr.,PHASE1,California,94304
NCT02530476,Blood Cancer,Drug,M.D. Anderson Cancer Center,PHASE1,Texas,77030
NCT02530476,Blood Cancer,Drug,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02788201,Other,Drug,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT02496676,Other,Drug,National Institute of Allergy and Infectious Diseases (NIAID),PHASE1,Maryland,20892
NCT02496676,Other,Drug,National Institute of Allergy and Infectious Diseases (NIAID),PHASE2,Maryland,20892
NCT04822597,Other,Drug,"University of Wisconsin, Madison",PHASE3,Wisconsin,53792
NCT02971761,Prostate Cancer,Drug,City of Hope Medical Center,PHASE2,California,91790
NCT02971761,Prostate Cancer,Others,City of Hope Medical Center,PHASE2,California,91790
NCT02971761,Prostate Cancer,Biological,City of Hope Medical Center,PHASE2,California,91790
NCT02098161,Other,Drug,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02098161,Other,Others,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02689453,Blood Cancer,Biological,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT03813147,Blood Cancer,Drug,National Cancer Institute (NCI),PHASE1,Washington,98105
NCT02673398,breast Cancer,Drug,City of Hope Medical Center,PHASE2,California,91790
NCT02673398,breast Cancer,Others,City of Hope Medical Center,PHASE2,California,91790
NCT03029598,Other,Drug,University of Washington,PHASE1,Washington,98109
NCT03029598,Other,Others,University of Washington,PHASE1,Washington,98109
NCT03029598,Other,Biological,University of Washington,PHASE1,Washington,98109
NCT03029598,Other,Drug,University of Washington,PHASE2,Washington,98109
NCT03029598,Other,Others,University of Washington,PHASE2,Washington,98109
NCT03029598,Other,Biological,University of Washington,PHASE2,Washington,98109
NCT03106077,breast Cancer,Biological,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02648477,breast Cancer,Drug,City of Hope Medical Center,PHASE2,California,91790
NCT02648477,breast Cancer,Others,City of Hope Medical Center,PHASE2,California,91790
NCT02648477,breast Cancer,Biological,City of Hope Medical Center,PHASE2,California,91790
NCT01931098,Brain Cancer,Drug,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT02311998,Blood Cancer,Drug,M.D. Anderson Cancer Center,PHASE1,Texas,77030
NCT02311998,Blood Cancer,Biological,M.D. Anderson Cancer Center,PHASE1,Texas,77030
NCT02311998,Blood Cancer,Drug,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02311998,Blood Cancer,Biological,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02166905,Other,Drug,Roswell Park Cancer Institute,PHASE1,New York,14263
NCT02166905,Other,Others,Roswell Park Cancer Institute,PHASE1,New York,14263
NCT02166905,Other,Biological,Roswell Park Cancer Institute,PHASE1,New York,14263
NCT02166905,Other,Drug,Roswell Park Cancer Institute,PHASE2,New York,14263
NCT02166905,Other,Others,Roswell Park Cancer Institute,PHASE2,New York,14263
NCT02166905,Other,Biological,Roswell Park Cancer Institute,PHASE2,New York,14263
